discount_percent,discount_price,displayPackageQuantity,displayPackageUnit,displayProductName,genericMedicineType,id,image,isAvailable,manufacture,manufactureUrl,name,page_query,price,quantity,sale_price,type
5,133,60,Tablets,Liv 52 DS,tablet,LIV52TN01A,https://cdn.medlife.com/productImages/LIV52TN01A/LIV52TN01A-1.jpg?id=2020-05-20T13:01:08.397000+00:00,ADD,Himalaya Drug Company,https://www.medlife.com/himalaya/brand/TG00004A,Liv 52 DS  60 Tablets,https://www.medlife.com/himalaya-liv-52-ds-60-tablets/otc/LIV52TN01A,140,60,133,Ayurveda
30,349.3,30,Tablets,Multivitamin,tablet,MULTITB03A,https://cdn.medlife.com/productImages/MULTITB03A/600x600 (1).jpg?id=2020-07-11T10:31:36.780000+00:00,ADD,Medlife Wellness Pvt Ltd,https://www.medlife.com/medlife-essentials/brand/TG00006A,Multivitamin  30 Tablets,https://www.medlife.com/medlife-essentials-multivitamin-30-tablets/otc/MULTITB03A,499,30,349.3,Ayurveda
20,399.2,60,Tablets,Calcium,tablet,CALCITB05A,https://cdn.medlife.com/productImages/CALCITB05A/CALCITB05A-1.jpg?id=2020-07-11T10:31:36.354000+00:00,ADD,Medlife Wellness Pvt Ltd,https://www.medlife.com/medlife-essentials/brand/TG00006A,Calcium  60 Tablets,https://www.medlife.com/medlife-essentials-calcium-60-tablets/otc/CALCITB05A,499,60,399.2,Ayurveda
10,310.5,30,Tablets,H Woman For Daily Health,tablet,REVITCB02A,https://cdn.medlife.com/productImages/REVITCB02A/REVITCB02A-1.jpg?id=2020-07-15T10:18:14.296000+00:00,ADD,Sun Pharmaceutical Industries Ltd,https://www.medlife.com/revital/brand/TG00201A,H Woman For Daily Health  30 Tablets,https://www.medlife.com/revital-h-woman-for-daily-health-30-tablets/otc/REVITCB02A,345,30,310.5,Ayurveda
30,419.37,30,Tablets,Moringa,tablet,MEDLITB09A,https://cdn.medlife.com/productImages/MEDLITB09A/MEDLITB09A.jpg?id=2020-07-11T10:31:36.734000+00:00,ADD,Medlife Wellness Pvt Ltd,https://www.medlife.com/medlife-essentials/brand/TG00006A,Moringa  30 Tablets,https://www.medlife.com/medlife-essentials-moringa-30-tablets/otc/MEDLITB09A,599.1,30,419.37,Ayurveda
10,495,60,Capsules,H Daily Health Supplement,tablet,REVITCB01A,https://cdn.medlife.com/productImages/REVITCB01A/REVITCB01A.jpg?id=2020-07-15T10:18:14.145000+00:00,ADD,Sun Pharmaceutical Industries Ltd,https://www.medlife.com/revital/brand/TG00201A,H Daily Health Supplement  60 Capsules,https://www.medlife.com/revital-h-daily-health-supplement-60-capsules/otc/REVITCB01A,550,60,495,Ayurveda
10,270,30,Capsules,H Daily Health Supplement,tablet,REVITCB03A,https://cdn.medlife.com/productImages/REVITCB03A/REVITCB03A.jpg?id=2020-07-15T10:18:13.687000+00:00,ADD,Sun Pharmaceutical Industries Ltd,https://www.medlife.com/revital/brand/TG00201A,H Daily Health Supplement  30 Capsules,https://www.medlife.com/revital-h-daily-health-supplement-30-capsules/otc/REVITCB03A,300,30,270,Ayurveda
30,699.3,60,Tablets,Diabetasafe,tablet,DIABETS05A,https://cdn.medlife.com/productImages/DIABETS05A/Thumbnail/DIABETS05A-thumbnail.jpg?id=2020-07-11T10:31:36.499000+00:00,ADD,Medlife Wellness Pvt Ltd,https://www.medlife.com/medlife-essentials/brand/TG00006A,Diabetasafe  60 Tablets,https://www.medlife.com/medlife-essentials-diabetasafe-60-tablets/otc/DIABETS05A,999,60,699.3,Ayurveda
0,162.7,30,Tablets,Plus,tablet,OSTOCTB04A,https://cdn.medlife.com/productImages/OSTOCTB04A/OSTOCTB04A-1.jpg?id=2020-05-12T11:28:52.981000+00:00,ADD,Glaxosmithkline Pharmaceuticals Ltd.,https://www.medlife.com/ostocalcium/brand/TG00178A,Plus  30 Tablets,https://www.medlife.com/ostocalcium-plus-30-tablets/otc/OSTOCTB04A,162.7,30,162.7,Ayurveda
30,419.3,30,Tablets,Neem,tablet,MEDLITB08A,https://cdn.medlife.com/productImages/MEDLITB08A/MEDLITB08A (1).jpg?id=2020-07-11T10:31:36.879000+00:00,ADD,Medlife Wellness Pvt Ltd,https://www.medlife.com/medlife-essentials/brand/TG00006A,Neem  30 Tablets,https://www.medlife.com/medlife-essentials-neem-30-tablets/otc/MEDLITB08A,599,30,419.3,Ayurveda
5,133,60,Tablets,Septilin,tablet,SEPTITN12A,https://cdn.medlife.com/productImages/SEPTITN12A/SEPTITN12A.jpg?id=2020-07-09T13:05:31.949000+00:00,ADD,Himalaya Drug Company,https://www.medlife.com/himalaya/brand/TG00004A,Septilin  60 Tablets,https://www.medlife.com/himalaya-septilin-60-tablets/otc/SEPTITN12A,140,60,133,Ayurveda
45,1648.35,180,Tablets,Diabetasafe (Pack of 3) - ,tablet,DIABETB02A,https://cdn.medlife.com/productImages/DIABETB02A/DIABETB02A.jpg?id=2020-05-08T05:22:54.363000+00:00,ADD,Medlife Wellness Pvt Ltd,https://www.medlife.com/medlife-essentials/brand/TG00006A,Diabetasafe (Pack of 3) -   180 Tablets,https://www.medlife.com/medlife-essentials-diabetasafe-pack-of-3-3-60-tablets/otc/DIABETB02A,2997,180,1648.35,Ayurveda
5,123.5,60,Tablets,Confido,tablet,CONFITN01A,https://cdn.medlife.com/productImages/CONFITN01A/CONFITN01A-1.jpg?id=2020-07-15T10:29:40.448000+00:00,ADD,Himalaya Drug Company,https://www.medlife.com/himalaya/brand/TG00004A,Confido  60 Tablets,https://www.medlife.com/himalaya-confido-60-tablets/otc/CONFITN01A,130,60,123.5,Ayurveda
30,699.3,30,Capsules,Shilajeet,tablet,MEDLICB02A,https://cdn.medlife.com/productImages/MEDLICB02A/IMG14218.jpg?id=2020-07-11T10:31:37.005000+00:00,ADD,Medlife Wellness Pvt Ltd,https://www.medlife.com/medlife-essentials/brand/TG00006A,Shilajeet  30 Capsules,https://www.medlife.com/medlife-essentials-shilajeet-30-capsules/otc/MEDLICB02A,999,30,699.3,Ayurveda
5,118.75,60,Tablets,Pilex,tablet,PILEXTN01A,https://cdn.medlife.com/productImages/PILEXTN01A/PILEXTN01A-1.jpg?id=2020-05-12T06:05:52.215000+00:00,ADD,Himalaya Drug Company,https://www.medlife.com/himalaya/brand/TG00004A,Pilex  60 Tablets,https://www.medlife.com/himalaya-pilex-60-tablets/otc/PILEXTN01A,125,60,118.75,Ayurveda
