manufacture,product_image,product_name,product_price,product_type
Mfr: Smith & Nephew Medical Ltd,https://www.netmeds.com/images/product-v1/150x150/315446/jelonet_gauze_10_cm_x_10_cm_10_s_0.jpg,Jelonet Gauze (10 cm x 10 cm) 10's,Rs. 709.50,Surgical
Mfr: Omron Healthcare Co Ltd,https://www.netmeds.com/images/product-v1/150x150/859723/omron_compressor_nebulizer_compair_eco_ne_c302_e_0.jpg,Omron Compressor Nebulizer CompAIR ECO (NE-C302-E),"Rs. 2,392.00",Surgical
Mfr: Omron Healthcare Co Ltd,https://www.netmeds.com/images/product-v1/150x150/859722/omron_compressor_nebulizer_compair_ne_c28_0.jpg,Omron Compressor Nebulizer CompAIR (NE-C28),"Rs. 3,136.50",Surgical
Mfr: Sahyog Wellness,"https://www.netmeds.com/images/product-v1/150x150/902215/sahyog_wellness_portable_traveller_mesh_nebulizer_with_usb_port,adult_and_child_mask_0_0.jpg","Sahyog Wellness Portable Traveller Mesh Nebulizer (With USB Port,Adult and Child Mask)","Rs. 2,808.05",Surgical
Mfr: Dynamic Techno Medicals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/408150/dynamic_tubifix_elasticated_tubular_bandage_b_p_1m_6_25_cm_4030_002_0.jpg,Dynamic Tubifix Elasticated Tubular Bandage B.P 1M 6.25 cm (4030-002),Rs. 154.05,Surgical
Mfr: Tynor Orthotics Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/407637/tynor_hot_cold_pack_i_44_0.jpg,Tynor Hot & Cold Pack (I 44),Rs. 404.60,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804447/3m_tegaderm_iv_transparent_film_1633in_0.jpg,3M Tegaderm IV Transparent Film (1633IN),Rs. 74.25,Surgical
Mfr: Dynamic Techno Medicals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/408157/dynamic_tubifix_elasticated_tubular_bandage_b_p_1m_12_0_cm_4030_007_0.jpg,Dynamic Tubifix Elasticated Tubular Bandage B.P 1M 12.0 cm (4030-007),Rs. 244.50,Surgical
Mfr: Dynamic Techno Medicals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/408155/dynamic_tubifix_elasticated_tubular_bandage_b_p_1m_10_0_cm_4030_006_0.jpg,Dynamic Tubifix Elasticated Tubular Bandage B.P 1M 10.0 cm (4030-006),Rs. 241.08,Surgical
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902224/sahyog_wellness_piston_compressor_nebulizer_for_children_adults_with_flow_adjuster_0_0.jpg,Sahyog Wellness Piston Compressor Nebulizer for Children & Adults with Flow Adjuster,"Rs. 1,836.00",Surgical
